"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","LCSC","MANUFACTURER","Manufacturer","Capacitance","Power(Watts)","Price","Stock"
"C1,C16,C17,C18","4","10uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf","","","","","C96446","","Samsung Electro-Mechanics","10uF","","0.021USD","3388297"
"C2","1","UVR1H471MHD1TO","","","","UVR1H471MHD1TO_MOD:CAP_UAQ_12P5X20_NCH","UVR1H471MHD1TO","","","","","","","","","","",""
"C3,C4,C10,C12,C13,C14,C20,C25","8","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","","","C307331","","Samsung Electro-Mechanics","100nF","","0.008USD","8389599"
"C5","1","UVR1H102MHD","","","","UVR1H102MHD_MOD:U1-Z_NCH","UVR1H102MHD","","","","","","","","","","",""
"C6,C7","2","WCAP-ATUL_8X11.5","","","","860040674004_MOD:WCAP-ATUL_8X11.5_DXL_","","","","","","","","","","","",""
"C8","1","16PX2200MEFC10X20","","","","16PX2200MEFC10X20_mod:CAP_PK&slash_PZ_10X20_LOW_RUB","16PX2200MEFC10X20","","","","","","","","","","",""
"C9,C11","2","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","","","","","C52923","","Samsung Electro-Mechanics","1uF","","0.006USD","7021828"
"C15,C21,C22,C23,C24","5","B41231B0228M000","","","","B41231B0228M000_mod:CAPPRD1000W190D2590H3200","https://www.tdk-electronics.tdk.com/inf/20/30/db/aec/B41231.pdf","TDK","B41231B0228M000","871-B41231B0228M000","https://www.mouser.co.uk/ProductDetail/EPCOS-TDK/B41231B0228M000?qs=f4aWRLuQiuxZvptTluIf9w%3D%3D","","","","","","",""
"C26","1","UCY2G470MHD1TN","","","","UCY2G470MHD1TN_mod:U1-FF_NCH","UCY2G470MHD1TN","","","","","","","","","","",""
"CR1,CR2,CR3,CR4","4","1N5402","","","","1N5402_MOD:AFL-W2X2.6D","1N5402","","","","","","","","","","",""
"D1","1","1N4004","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","",""
"D2,D3","2","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","","","","","","","","","",""
"D4,D5","2","UF4007","","","","UF4007_mod:DIOAD1036W78L470D235","","","","","","","Taiwan Semiconductor","","","","",""
"D6","1","5.0SMDJ64CA","","","","PCM_JLCPCB:D_SMC","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312271608_Liown-5-0SMDJ64CA_C2990414.pdf","","","","","C2990414","","Liown","","","0.336USD","3880"
"D7,D8","2","SMAJ36CA","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","","","","","","","",""
"D9","1","SMAJ13A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","","","","","","","",""
"D10","1","SMAJ5.0A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","","","","","","","",""
"EGS002_MODULE1","1","Conn_01x17_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x17_P2.54mm_Vertical","~","","","","","","","","","","",""
"F1","1","250A","","","","Fuse:Fuse_Blade_Mini_directSolder","~","","","","","","","","","","",""
"F2","1","250mA","","","","Fuse:Fuse_0402_1005Metric","~","","","","","","","","","","",""
"H1,H2,H3,H4,H5,H6","6","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","","","",""
"IC1","1","LM2576HVS-12_NOPB","","","","LM2576HVS-12_mod:KTT0005B","http://www.ti.com/lit/gpn/lm2576hv","Texas Instruments","LM2576HVS-12/NOPB","926-LM2576HVS-12NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2576HVS-12-NOPB?qs=X1J7HmVL2ZHaqyLLu4VG4w%3D%3D","","","","","","",""
