Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603",344.932000,-173.464000,-90.000000,top
"C3","100nF","C_0402",442.976000,-278.384000,180.000000,top
"C4","100nF","C_0402",365.252000,-284.996000,-90.000000,top
"C9","1uF","C_0402",423.172000,-106.680000,0.000000,top
"C10","100nF","C_0402",422.148000,-97.028000,0.000000,top
"C11","1uF","C_0402",422.148000,-92.964000,0.000000,top
"C12","100nF","C_0402",422.148000,-94.996000,0.000000,top
"C13","100nF","C_0402",423.164000,-116.840000,0.000000,top
"C14","100nF","C_0402",423.172000,-119.380000,0.000000,top
"C16","10uF","C_0603",341.884000,-235.476000,90.000000,top
"C17","10uF","C_0603",306.324000,-236.456000,90.000000,top
"C18","10uF","C_0603",305.308000,-173.972000,-90.000000,top
"C20","100nF","C_0402",433.824000,-80.772000,0.000000,top
"C25","100nF","C_0402",399.796000,-79.248000,0.000000,top
"D6","5.0SMDJ64CA","D_SMC",138.684000,-203.200000,0.000000,top
"D7","SMAJ36CA","D_SMA",260.096000,-206.248000,90.000000,top
"D8","SMAJ36CA","D_SMA",343.916000,-204.756000,90.000000,top
"D9","SMAJ13A","D_SMA",372.364000,-310.420000,-90.000000,top
"D10","SMAJ5.0A","D_SMA",428.752000,-299.212000,180.000000,top
"F2","250mA","Fuse_0402_1005Metric",438.427000,-196.088000,0.000000,top
"IC1","LM2576HVS-12_NOPB","KTT0005B",384.994000,-287.528000,180.000000,top
"IC3","MIC4452VM","SOIC127P600X188-8N",298.704000,-173.736000,180.000000,top
"IC4","MIC4452VM","SOIC127P600X188-8N",300.075000,-236.004000,0.000000,top
"IC5","MIC4452VM","SOIC127P600X188-8N",338.156000,-173.863000,180.000000,top
"IC6","MIC4452VM","SOIC127P600X188-8N",336.124000,-235.331000,0.000000,top
"L1","100uH,2mA","L_0805",441.452000,-266.700000,180.000000,top
"L2","SRR1210-680M","IND_BOURNS_SRR1210",344.462100,-286.004000,0.000000,top
"R3","5.1Ω","R_0603",287.724000,-193.548000,0.000000,top
"R4","5.1Ω","R_0603",287.724000,-216.408000,0.000000,top
"R5","5.1Ω","R_0603",287.528000,-257.048000,0.000000,top
"R6","5.1Ω","R_0603",326.332000,-255.524000,0.000000,top
"R7","5.1Ω","R_0603",326.840000,-216.408000,0.000000,top
"R8","5.1Ω","R_0603",325.824000,-178.308000,0.000000,top
"R9","5.1Ω","R_0603",326.332000,-151.892000,0.000000,top
"R16","5.1Ω","R_0603",288.232000,-151.892000,0.000000,top
"R20","100kΩ","R_0805",405.384000,-194.670000,-90.000000,top
"R21","100kΩ","R_0805",404.876000,-177.800000,90.000000,top
"R23","100kΩ","R_0805",399.796000,-76.708000,180.000000,top
"RT1","NCU15XH103F6SRC","THRMC1005X55N",433.832000,-78.232000,180.000000,top
"U1","UCC21520DWR","SOIC127P1030X265-16N",413.444000,-89.027000,0.000000,top
"U2","UCC21520DWR","SOIC127P1030X265-16N",432.376000,-112.141000,180.000000,top
