timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-03T16:33:56.344,1,Carp,7.08,34.4,356.3,1.61,1.14,Clear
2026-07-03T16:33:57.344,1,Carp,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:33:58.344,1,Carp,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:33:59.344,1,Carp,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:34:00.344,1,Carp,7.06,35,361.26,1.55,0.92,Clear
2026-07-03T16:34:01.344,1,Carp,7.06,35,361.26,1.55,0.92,Clear
2026-07-03T16:34:02.344,1,Carp,7.06,35,361.26,1.55,0.92,Clear
2026-07-03T16:34:03.344,1,Carp,7,35,361.77,1.53,1.13,Clear
2026-07-03T16:34:04.344,1,Carp,7,35,361.77,1.53,1.13,Clear
2026-07-03T16:34:05.344,1,Carp,7,35,361.77,1.53,1.13,Clear
2026-07-03T16:34:06.345,1,Carp,7.07,35,361.35,1.7,0.95,Clear
2026-07-03T16:34:07.345,1,Carp,7.07,35,361.35,1.7,0.95,Clear
2026-07-03T16:34:08.345,1,Carp,7.07,35,361.35,1.7,0.95,Clear
2026-07-03T16:34:09.345,1,Carp,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:10.345,1,Carp,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:11.345,1,Carp,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:12.345,1,Carp,7.22,35,361.9,1.59,1.11,Clear
2026-07-03T16:34:13.345,1,Carp,7.22,35,361.9,1.59,1.11,Clear
2026-07-03T16:34:14.345,1,Carp,7.22,35,361.9,1.59,1.11,Clear
2026-07-03T16:34:15.345,1,Carp,7,35.1,361.35,1.59,1.09,Clear
2026-07-03T16:34:16.346,1,Carp,7,35.1,361.35,1.59,1.09,Clear
2026-07-03T16:34:17.346,1,Carp,7.01,35,360.42,1.56,1.11,Clear
2026-07-03T16:34:18.346,1,Carp,7.01,35,360.42,1.56,1.11,Clear
2026-07-03T16:34:19.346,1,Carp,7.01,35,360.42,1.56,1.11,Clear
2026-07-03T16:34:20.346,1,Carp,6.97,34.7,360.93,1.61,1.06,Clear
2026-07-03T16:34:21.346,1,Carp,6.97,34.7,360.93,1.61,1.06,Clear
2026-07-03T16:34:22.346,1,Carp,6.97,34.7,360.93,1.61,1.06,Clear
2026-07-03T16:34:23.347,1,Carp,7.02,34.8,360.66,1.5,1.11,Clear
2026-07-03T16:34:24.347,1,Carp,7.02,34.8,360.66,1.5,1.11,Clear
2026-07-03T16:34:25.347,1,Carp,7.02,34.8,360.66,1.5,1.11,Clear
2026-07-03T16:34:26.347,1,Carp,6.97,34.7,360.98,1.55,1.13,Clear
2026-07-03T16:34:27.347,1,Carp,6.97,34.7,360.98,1.55,1.13,Clear
2026-07-03T16:34:28.347,1,Carp,6.97,34.7,360.98,1.55,1.13,Clear
2026-07-03T16:34:29.347,1,Carp,7.07,34.8,360.7,1.64,1.12,Clear
2026-07-03T16:34:30.347,1,Carp,7.07,34.8,360.7,1.64,1.12,Clear
2026-07-03T16:34:31.347,1,Carp,7.07,34.8,360.7,1.64,1.12,Clear
2026-07-03T16:34:32.347,1,Carp,7.02,35,357.69,1.62,0.95,Clear
2026-07-03T16:34:33.348,1,Carp,7.02,35,357.69,1.62,0.95,Clear
2026-07-03T16:34:34.348,1,Carp,7.02,35,357.69,1.62,0.95,Clear
2026-07-03T16:34:35.348,1,Carp,7.05,34.7,360.7,1.67,0.93,Clear
2026-07-03T16:34:36.348,1,Carp,7.05,34.7,360.7,1.67,0.93,Clear
2026-07-03T16:34:37.348,1,Carp,7.05,34.7,360.7,1.67,0.93,Clear
2026-07-03T16:34:38.348,1,Carp,6.99,34.9,360.79,1.64,1.13,Clear
2026-07-03T16:34:39.348,1,Carp,6.99,34.9,360.79,1.64,1.13,Clear
2026-07-03T16:34:40.348,1,Carp,6.99,34.9,360.79,1.64,1.13,Clear
2026-07-03T16:34:41.348,1,Carp,6.99,34.9,360.56,1.69,1.16,Clear
2026-07-03T16:34:42.348,1,Carp,6.99,34.9,360.56,1.69,1.16,Clear
2026-07-03T16:34:43.348,1,Carp,6.99,34.9,360.56,1.69,1.16,Clear
2026-07-03T16:34:44.349,1,Carp,6.99,34.9,361.63,1.74,0.96,Clear
2026-07-03T16:34:45.349,1,Carp,6.99,34.9,361.63,1.74,0.96,Clear
2026-07-03T16:34:46.349,1,Carp,6.99,34.9,361.63,1.74,0.96,Clear
2026-07-03T16:34:47.349,1,Carp,7.03,35.1,361.81,1.88,1.16,Clear
2026-07-03T16:34:48.349,1,Carp,7.03,35.1,361.81,1.88,1.16,Clear
2026-07-03T16:34:49.349,1,Carp,7.03,35.1,361.81,1.88,1.16,Clear
2026-07-03T16:34:50.349,1,Carp,7.15,34.3,353.62,1.96,0.94,Clear
2026-07-03T16:34:51.349,1,Carp,7.15,34.3,353.62,1.96,0.94,Clear
2026-07-03T16:34:52.349,1,Carp,7.15,34.3,353.62,1.96,0.94,Clear
2026-07-03T16:34:53.349,1,Carp,7.11,34.3,353.11,1.95,1.11,Clear
2026-07-03T16:34:54.350,1,Carp,7.11,34.3,353.11,1.95,1.11,Clear
2026-07-03T16:34:55.350,1,Carp,7.11,34.3,353.11,1.95,1.11,Clear
