timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-02T09:06:42.990,1,Silver carp,7.47,28.9,337.5,4.27,1.44,Algae
2026-07-02T09:06:43.990,1,Silver carp,7.38,28.4,338.5,4.01,0.8,Algae
2026-07-02T09:06:44.990,1,Silver carp,7.53,28.9,339.5,4.05,1.44,Algae
2026-07-02T09:06:45.990,1,Silver carp,7.4,28.6,340.5,4.16,1.44,Algae
2026-07-02T09:06:46.990,1,Silver carp,7.44,29,341.5,4.01,1.45,Algae
2026-07-02T09:06:47.990,1,Silver carp,7.37,28.7,342.5,4.25,0.8,Algae
2026-07-02T09:06:48.990,1,Silver carp,7.39,28.8,343.5,3.98,0.8,Algae
2026-07-02T09:06:49.992,1,Silver carp,7.37,28.6,344.5,4.28,1.45,Algae
2026-07-02T09:06:50.992,1,Silver carp,7.5,28.9,345.5,4.05,0.88,Algae
2026-07-02T09:06:51.992,1,Silver carp,7.39,28.5,346.5,4,0.81,Algae
2026-07-02T09:06:52.992,1,Silver carp,7.42,28.9,347.5,4.03,0.8,Algae
2026-07-02T09:06:53.992,1,Silver carp,7.38,28.5,348.5,4,1.45,Algae
2026-07-02T09:06:54.993,1,Silver carp,7.48,29,349.5,4.08,0.88,Algae
2026-07-02T09:06:55.993,1,Silver carp,7.38,28.8,350.5,4.1,0.89,Algae
2026-07-02T09:06:56.993,1,Silver carp,7.52,28.9,351.5,4.05,0.8,Algae
2026-07-02T09:06:57.993,1,Silver carp,7.37,28.8,352.5,4.31,0.8,Algae
2026-07-02T09:06:58.993,1,Silver carp,7.51,28.9,353.5,4.04,1.45,Algae
2026-07-02T09:06:59.993,1,Silver carp,7.45,28.8,354.5,4.26,0.81,Algae
2026-07-02T09:07:00.993,1,Silver carp,7.4,28.9,355.5,3.99,0.83,Algae
2026-07-02T09:07:01.993,1,Silver carp,7.44,28.9,356.5,4.26,1.45,Algae
2026-07-02T09:07:02.993,1,Silver carp,7.4,29,357.5,4.06,1.45,Algae
2026-07-02T09:07:03.993,1,Silver carp,7.39,28.3,354.5,4.06,1.45,Algae
2026-07-02T09:07:04.993,1,Silver carp,7.44,28.9,359.5,4.02,0.82,Algae
2026-07-02T09:07:05.993,1,Silver carp,7.38,28.4,360.5,4.03,0.82,Algae
2026-07-02T09:07:06.994,1,Silver carp,7.4,28.9,361.5,4.05,1.45,Algae
2026-07-02T09:07:07.994,1,Silver carp,7.46,28.9,362.5,4.3,0.81,Algae
2026-07-02T09:07:08.994,1,Silver carp,7.38,28.9,363.5,4.01,1.45,Algae
2026-07-02T09:07:09.994,1,Silver carp,7.38,28.3,356,4.03,1.46,Algae
2026-07-02T09:07:10.994,1,Silver carp,7.4,29,365.5,4.02,0.83,Algae
2026-07-02T09:07:11.994,1,Silver carp,7.38,28.6,364.5,4.09,1.46,Algae
2026-07-02T09:07:12.995,1,Silver carp,7.37,28.5,367.5,4.31,1.46,Algae
2026-07-02T09:07:13.995,1,Silver carp,7.4,28.9,362.5,4.04,1.45,Algae
2026-07-02T09:07:14.995,1,Silver carp,7.38,28.4,369.5,4.02,1.45,Algae
2026-07-02T09:07:15.995,1,Silver carp,7.41,28.9,370.5,4.05,0.9,Algae
2026-07-02T09:07:16.995,1,Silver carp,7.49,29,371,4.03,0.67,Algae
