timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-05T09:44:20.613,1,Talipia,7.52,31.6,342.04,4.25,1.34,Contaminated
2026-07-05T09:44:21.613,1,Talipia,7.6,32,341.38,4.12,1.36,Contaminated
2026-07-05T09:44:22.613,1,Talipia,7.53,32.1,342.52,4.19,1.27,Contaminated
2026-07-05T09:44:23.613,1,Talipia,7.52,31.9,341.34,4.62,1.28,Contaminated
2026-07-05T09:44:24.613,1,Talipia,7.55,32.1,341.69,4.42,1.26,Contaminated
2026-07-05T09:44:25.613,1,Talipia,7.6,31.4,339.19,4.55,1.29,Contaminated
2026-07-05T09:44:26.618,1,Talipia,7.6,31.8,338.8,4.56,1.11,Contaminated
2026-07-05T09:44:27.618,1,Talipia,7.61,31.4,338.32,4.64,1.31,Contaminated
2026-07-05T09:44:28.618,1,Talipia,7.68,31.6,337.75,4.47,1.33,Contaminated
2026-07-05T09:44:29.618,1,Talipia,7.61,31.5,338.93,4.25,1.18,Contaminated
2026-07-05T09:44:30.618,1,Talipia,7.61,31.7,337.49,4.49,1.3,Contaminated
2026-07-05T09:44:31.618,1,Talipia,7.54,32.1,341.82,4.07,1.28,Contaminated
2026-07-05T09:44:32.619,1,Talipia,7.53,31.6,342.52,4.17,1.25,Contaminated
2026-07-05T09:44:33.619,1,Talipia,7.53,32.1,342.56,4.03,1.22,Contaminated
2026-07-05T09:44:34.619,1,Talipia,7.53,31.9,341.73,4.34,1.27,Contaminated
2026-07-05T09:44:35.619,1,Talipia,7.62,31.7,338.49,4.16,1.29,Contaminated
2026-07-05T09:44:36.619,1,Talipia,7.53,31.6,342.61,3.98,1.14,Contaminated
2026-07-05T09:44:37.619,1,Talipia,7.57,32.1,341.78,4.07,1.23,Contaminated
2026-07-05T09:44:38.619,1,Talipia,7.62,31.3,338.49,4.28,1.23,Contaminated
2026-07-05T09:44:39.619,1,Talipia,7.61,32,340.99,4.19,1.17,Contaminated
2026-07-05T09:44:40.619,1,Talipia,7.52,31.6,341.64,4.07,1.23,Contaminated
2026-07-05T09:44:41.619,1,Talipia,7.66,31.8,337.44,4.33,1.24,Contaminated
2026-07-05T09:44:42.619,1,Talipia,7.62,31.4,338.41,3.88,1.22,Contaminated
2026-07-05T09:44:43.620,1,Talipia,7.67,31.8,337.18,4.11,1.24,Contaminated
2026-07-05T09:44:44.620,1,Talipia,7.61,31.7,338.41,4.36,1.26,Contaminated
2026-07-05T09:44:45.620,1,Talipia,7.61,32.1,340.38,4.45,1.21,Contaminated
2026-07-05T09:44:46.620,1,Talipia,7.53,32.1,341.91,4.07,1.2,Contaminated
2026-07-05T09:44:47.620,1,Talipia,7.62,32,340.86,4.08,1.25,Contaminated
2026-07-05T09:44:48.620,1,Talipia,7.53,31.9,342.21,4.12,1.27,Contaminated
2026-07-05T09:44:49.620,1,Talipia,7.72,31.7,336.88,4.05,1.24,Contaminated
