timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-05T11:13:04.999,1,Rohu,7.25,33.7,305.94,11.97,0.55,Muddy
2026-07-05T11:13:05.999,1,Rohu,7.28,33.8,305.2,11.97,0.4,Muddy
2026-07-05T11:13:06.999,1,Rohu,7.22,33.8,303.49,11.97,0.21,Muddy
2026-07-05T11:13:07.999,1,Rohu,7.21,33.8,302.57,11.97,0.21,Muddy
2026-07-05T11:13:08.999,1,Rohu,7.24,33.8,302.75,11.97,0.39,Muddy
2026-07-05T11:13:09.999,1,Rohu,7.23,33.8,303.19,11.97,0.61,Muddy
2026-07-05T11:13:10.999,1,Rohu,7.23,33.9,299.86,11.97,0.43,Muddy
2026-07-05T11:13:11.999,1,Rohu,7.22,33.6,302.09,11.97,0.42,Muddy
2026-07-05T11:13:12.999,1,Rohu,7.22,33.7,302.62,11.97,0.42,Muddy
2026-07-05T11:13:13.999,1,Rohu,7.22,33.7,300.61,11.97,0.65,Muddy
2026-07-05T11:13:14.999,1,Rohu,7.23,33.8,298.2,11.97,0.65,Muddy
2026-07-05T11:13:16.000,1,Rohu,7.25,33.8,298.38,11.97,0.63,Muddy
2026-07-05T11:13:17.000,1,Rohu,7.23,33.8,298.33,11.97,0.63,Muddy
2026-07-05T11:13:18.000,1,Rohu,7.26,33.8,297.59,11.97,0.63,Muddy
2026-07-05T11:13:19.000,1,Rohu,7.28,33.8,297.06,11.97,0.66,Muddy
2026-07-05T11:13:20.001,1,Rohu,7.29,33.8,297.85,11.97,0.46,Muddy
2026-07-05T11:13:21.001,1,Rohu,7.23,33.8,301.57,11.97,0.31,Muddy
2026-07-05T11:13:22.001,1,Rohu,7.23,33.6,300.87,11.97,0.31,Muddy
2026-07-05T11:13:23.001,1,Rohu,7.27,33.8,301.44,11.97,0.37,Muddy
2026-07-05T11:13:24.001,1,Rohu,7.27,33.8,306.34,11.97,0.41,Muddy
2026-07-05T11:13:25.001,1,Rohu,7.23,33.6,299.86,11.97,0.38,Muddy
2026-07-05T11:13:26.001,1,Rohu,7.23,33.5,302.93,11.97,0.38,Muddy
2026-07-05T11:13:27.001,1,Rohu,7.24,33.5,305.03,11.97,0.72,Muddy
2026-07-05T11:13:28.001,1,Rohu,7.22,33.5,297.41,11.97,0.72,Muddy
2026-07-05T11:13:29.001,1,Rohu,7.32,33.6,293.61,11.97,0.34,Muddy
2026-07-05T11:13:30.001,1,Rohu,7.27,33.6,290.72,11.97,0.35,Muddy
2026-07-05T11:13:31.001,1,Rohu,7.27,33.6,289.06,11.97,0.34,Muddy
2026-07-05T11:13:32.002,1,Rohu,7.22,33.4,289.19,11.97,0.31,Muddy
2026-07-05T11:13:33.002,1,Rohu,7.23,33.6,289.76,11.97,0.34,Muddy
2026-07-05T11:13:34.002,1,Rohu,7.23,33.5,293.56,11.97,0.34,Muddy
