timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-05T11:08:33.428483,1,Tengra,7.2,34.1,317.71,11.97,0.54,Clear
2026-07-05T11:08:34.428542,1,Tengra,7.21,34.0,317.71,11.97,0.54,Clear
2026-07-05T11:08:35.428619,1,Tengra,7.21,34.0,317.45,11.97,0.55,Clear
2026-07-05T11:08:36.428694,1,Tengra,7.21,34.0,317.67,11.97,0.55,Clear
2026-07-05T11:08:37.428734,1,Tengra,7.21,33.8,317.71,11.97,0.55,Clear
2026-07-05T11:08:38.428809,1,Tengra,7.21,33.7,317.58,11.97,0.54,Clear
2026-07-05T11:08:39.428884,1,Tengra,7.2,33.7,317.45,11.97,0.54,Clear
2026-07-05T11:08:40.428967,1,Tengra,7.2,34.0,316.84,11.97,0.54,Clear
2026-07-05T11:08:41.429047,1,Tengra,7.28,34.0,316.49,11.97,0.26,Clear
2026-07-05T11:08:42.429130,1,Tengra,7.21,34.0,317.41,11.97,0.24,Clear
2026-07-05T11:08:43.429212,1,Tengra,7.21,33.9,316.71,11.97,0.27,Clear
2026-07-05T11:08:44.429288,1,Tengra,7.21,34.0,317.14,11.97,0.24,Clear
2026-07-05T11:08:45.429391,1,Tengra,7.2,33.9,316.71,11.97,0.24,Clear
2026-07-05T11:08:46.429495,1,Tengra,7.26,34.0,316.4,11.97,0.24,Clear
2026-07-05T11:08:47.429573,1,Tengra,7.21,34.0,316.88,11.97,0.24,Clear
2026-07-05T11:08:48.429650,1,Tengra,7.21,33.9,315.61,11.97,0.24,Clear
2026-07-05T11:08:49.429722,1,Tengra,7.22,34.0,315.7,11.97,0.24,Clear
2026-07-05T11:08:50.431750,1,Tengra,7.23,34.1,316.05,11.97,0.52,Clear
2026-07-05T11:08:51.431829,1,Tengra,7.22,33.7,315.83,11.97,0.36,Clear
2026-07-05T11:08:52.431911,1,Tengra,7.23,34.0,314.96,11.97,0.52,Clear
2026-07-05T11:08:53.431993,1,Tengra,7.27,34.0,314.91,11.97,0.52,Clear
2026-07-05T11:08:54.432078,1,Tengra,7.21,34.0,315.09,11.97,0.48,Clear
2026-07-05T11:08:55.432135,1,Tengra,7.21,34.0,314.39,11.97,0.24,Clear
2026-07-05T11:08:56.432214,1,Tengra,7.2,34.1,314.96,11.97,0.24,Clear
2026-07-05T11:08:57.432280,1,Tengra,7.22,34.2,314.91,11.97,0.24,Clear
2026-07-05T11:08:58.432359,1,Tengra,7.2,33.9,315.39,11.97,0.24,Clear
2026-07-05T11:08:59.432448,1,Tengra,7.21,34.2,314.43,11.97,0.24,Clear
2026-07-05T11:09:00.432533,1,Tengra,7.2,34.2,315.31,11.97,0.24,Clear
2026-07-05T11:09:01.432606,1,Tengra,7.19,34.1,314.82,11.97,0.24,Clear
2026-07-05T11:09:02.432684,1,Tengra,7.21,34.1,314.3,11.97,0.24,Clear
